timestamp,endpoint,method,status_code,response_time_ms,user_agent,client_ip
2025-04-24 00:18:12.194317,/recipes?ingredient=dinner,GET,200,53,Mozilla/5.0 (Windows NT 10.0; Win64; x64),103.212.94.68
2025-04-24 00:18:51.194317,/recipes?ingredient=lunch,POST,200,596,Mozilla/5.0 (Windows NT 10.0; Win64; x64),15.127.188.215
2025-04-24 00:21:12.194317,/recipes?ingredient=breakfast,GET,200,1671,curl/7.68.0,172.229.188.84
2025-04-24 00:23:48.194317,/recipes?ingredient=dinner,POST,200,1564,PostmanRuntime/7.28.4,15.193.63.183
2025-04-24 00:30:19.194317,/recipes/random,GET,200,1351,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),207.179.156.172
2025-04-24 00:31:40.194317,/recipes?ingredient=lunch,GET,404,391,Mozilla/5.0 (Windows NT 10.0; Win64; x64),241.109.106.49
2025-04-24 00:34:35.194317,/recipes?ingredient=lunch,POST,401,1902,Mozilla/5.0 (Windows NT 10.0; Win64; x64),148.179.18.15
2025-04-24 00:37:53.194317,/recipes?ingredient=dinner,POST,200,347,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0 like Mac OS X),72.214.101.109
2025-04-24 00:40:26.194317,/recipes?ingredient=breakfast,GET,200,777,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0 like Mac OS X),73.88.142.19
2025-04-24 00:40:37.194317,/recipes?ingredient=dinner,POST,401,1002,PostmanRuntime/7.28.4,191.229.225.70
2025-04-24 00:44:00.194317,/recipes?ingredient=dinner,GET,200,1999,curl/7.68.0,143.214.118.62
2025-04-24 00:45:06.194317,/recipes?ingredient=dinner,GET,200,60,PostmanRuntime/7.28.4,32.189.226.21
2025-04-24 00:48:10.194317,/recipes?ingredient=dinner,POST,200,1244,Mozilla/5.0 (Windows NT 10.0; Win64; x64),23.112.33.145
2025-04-24 00:48:38.194317,/recipes?ingredient=lunch,GET,200,1466,curl/7.68.0,144.132.204.207
2025-04-24 00:50:41.194317,/recipes?ingredient=dinner,POST,404,1146,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0 like Mac OS X),174.35.59.225
